Ссылка на продукт,Наименование,Цена,Рейтинг пользователей,Описание продукта,Инструкция по применению,Страна-производитель
https://goldapple.ru/19000264032-sparkling-fruit,BOCA AROMA Диффузор с вулканическими камнями SPARKLING FRUIT,2490,5.0,"Уникальное сочетание природных материалов и ручной работы - бетон, камни и ароматические масла. Пористая поверхность камней из вулканической лавы отличается долгой аромаотдачей, тонкостью звучания нот. Стильная альтернатива стандартным диффузорам, отличающаяся своей аутентичностью, а также универсальный подарок. Аромат Sparkling Fruit -- игристый, свежий и воздушный. Утонченное и деликатное звучание фруктово-ягодных нот для вашего дома. Ноты аромата: грейпфрут, персик, черная смородина, роза. Комплектация: Диффузор, вулканические камни в бархатном мешочке, аромамасло 10 мл в бутылочке с пипеткой, упаковка. В интернет-магазине представлен актуальный дизайн продукта. Обращаем внимание, возможно поступление товара в старом дизайне.","Вы сами можете регулировать насыщенность аромата. Для более легкого аромата - капните всего несколько капель. Чтобы сделать аромат более насыщенным можно увеличить количество аромамасла, чтобы камни были полностью пропитаны. Аромат сохраняется от 3 до 5 месяцев, в зависимости от площади помещения и интенсивности использования.",Россия
https://goldapple.ru/19000010974-allegra-riva-solare,Bvlgari Парфюмерная вода Allegra Riva Solare 100 мл,24210,5.0,"Искрящийся цитрусово-цветочный аромат Riva Solare – это парфюмерное воплощение ярких и захватывающих каникул в Италии. Композиция из коллекции Bvlgari Allegra, раскрывающей яркость и глубину итальянских эмоций, передаёт прилив радости от прогулки у Средиземного моря. Бодрящий и освежающий всплеск аромата калабрийского бергамота отражает уникальную атмосферу итальянской Ривьеры. Изысканная и чувственная нота нероли добавляет композиции зеленые и белоцветочные акценты, воплощающие живительную энергию солнца и моря. Усилить звучание этого яркого аромата и создать индивидуальное сочетание под своё настроение можно с помощью одной из эссенций коллекции Bvlgari Allegra, идеально дополняющих гармонию нот. Ваш персонализированный аромат начинается здесь!","Распылите на пульсирующие зоны: запястья, шею, за ушами и внутреннюю сторону локтя. Избегайте контакта с одеждой. Для повышения стойкости рекомендуем наносить на хорошо увлажненную кожу.",Италия
https://goldapple.ru/99000023142-child-of-nature,ENDORPHIA Ароматический диффузор child of nature 50 мл,1610,нет,"Сладковато табачный аромат, теплый, древесный, но в то же время с перечной остринкой. Глубину добавляют ореховые оттенки бобов тонка.","1. Интенсивность аромата вы можете регулировать при помощи количества вставленных во флакон палочек. Стоит начать с 3-4 шт. и постепенно добавлять по одной до нужной интенсивности. 2. При первом использовании дождитесь пока палочки пропитаются жидкостью, этот процесс должен занять не менее суток. 3. Для того, чтобы аромат оставался интенсивным, а палочки не накапливали пыль, их можно вынимать и переворачивать раз в 3-4 дня. 4. Мы не рекомендуем ставить диффузор туда, где есть прямое воздействие солнечного света. Это может повлиять на качество парфюмерной композиции. Примечание: Подбирайте аромадиффузор в соответствии с размерами вашего помещения. Объем 50 мл. ароматизирует прикроватную или рабочую зону (до 20м2), а также небольшую ванную комнату. Объем 100 мл. подойдет для комнаты 30-40 м2.",Россия
https://goldapple.ru/19000470518-pistache,Laurent Mazzone Парфюмерная вода Pistache 100 мл,13600,4.8,"С первых нот Pistache раскрывает бархатистую, изысканную текстуру, вызывая обволакивающее, почти тактильное ощущение мягкости. Гурманские ноты какао и кофе, пропитанные элегантностью, переплетаются, привнося интенсивность и глубину в композицию. Аккорд белых цветов создаёт яркий контраст, тонко уравновешивая жареные акценты, в то время как мускусное, испаряющееся дыхание изящно завершает партитуру. Каждая нота прославляет итальянскую исключительность в её самом благородном проявлении. Редкая чувственная композиция на грани контролируемой силы и вечной сладости.",Только для наружного применения.,Франция
https://goldapple.ru/19000455287-angels-share-on-the-rocks,Kilian Paris Парфюмерная вода Angels share on the rocks 100 мл,45090,4.9,"Совершенный баланс ледяной свежести и соблазнительной насыщенности. Новый способ поддаться искушению. Вдохновлённый наследием Килиана Хеннесси, Angels’ Share on the Rocks заново переосмысливает изысканность аромата Angels’ Share. Эксклюзивный ледяной аккорд On the Rocks, отличительная визитная карточка Kilian Paris, превращает композицию в искрящийся коктейль из бергамота, грейпфрута и альдегидов, даря кристальную прохладу этому роскошному эликсиру. Ослепительная свежесть постепенно раскрывается тёплой глубиной коньячной эссенции, обогащённой смолой мирры и абсолютом бобов тонка, словно морозное сияние встречается с мягким янтарным очарованием. Мастерство Kilian Paris в каждой детали: флакон коллекции The Liquors предстает в ледяном облике, напоминая охлажденный коньячный бокал.","Нанесите аромат на запястья, шею и точки пульса на очищенную и увлажненную кожу, чтобы он раскрылся от тепла тела и остался с вами до самого вечера. Не растирайте.",Франция
https://goldapple.ru/19000399935-01,PANDORA Духи #01 30 мл,1696,5.0,"Начинается композиция со свежих нот мандарина и бергамота, оттененных деликатной сладостью цветов груши. В «сердце» ярко звучит фруктовая нота спелого персика и пять восхитительных цветов: тубероза, фрезия, орхидея, жасмин и магнолия. А шлейф из мускуса, ванили и кедра создаст вокруг вас ауру соблазняющей чувственности.",Для наружного применения.,Россия
https://goldapple.ru/19000154000-ayurveda,Tesori d’Oriente Туалетная вода Ayurveda 100 мл,765,4.2,"Туалетная вода Tesori d'Oriente Амла и Пачули принадлежит к группе восточных ароматов. Унисекс аромат подарит Вам чувство гармонии и ощущение душевного равновесия. Древесные и амбровые ноты с утонченными вкраплениями сладкого апельсина и цветков амлы на базе из пачули и кедра создадут вокруг Вас ореол загадочности и восточной роскоши. Tesori d’Oriente Туалетная вода 100 мл приглашает Вас окунуться в мир эстетики и великолепия. Уникальная разработка итальянских парфюмеров создает туалетную воду с ярким ароматом, обладающим хорошей стойкостью до 10 часов. Туалетная вода Tesori d'Oriente принадлежит к группе восточных ароматов. Ольфакторное путешествие унесет вас от повседневной жизни: бегство в живописные уголки мира, окруженные бирюзовыми водами, где вы сможете найти свой внутренний покой. Ароматы, произведенные в Италии, созданы на основе натуральных масел, с натуральными компонентами. Продукция вдохновлена древней идеей превратить ежедневный уход за телом в красивый ритуал, с помощью которого можно гармонизировать тело и душу. Парфюмерия данного бренда содержит традиционные восточные компоненты, использующиеся в течение многих веков при изготовлении косметики. Ароматические композиции разработаны ведущими мировыми парфюмерными компаниями и подойдут для подарка самым близким людям, потому что привлекательная и удобная упаковка имеет премиальный вид. Насладитесь роскошью гармонии Востока!","Нанести на тело или одежду, избегая попадания в глаза или на раздраженную кожу. При необходимости повторить нанесение в течение дня.",Италия
https://goldapple.ru/19000306251-cistyj-hlopok,banka_home Парфюмированный спрей Чистый хлопок 275 мл,1080,4.5,"Парфюмированный спрей Fresh line - Чистый хлопок. Средство для ароматизации воздуха в помещениях и автомобиле, придания аромата текстилю. Аромат чистого белья в свежий солнечный день. Дополнен оттенками цитрусовых, зеленого яблока, кедра, жасмина, лаванды и лилии.","Встряхните флакон перед использованием. Держа флакон вертикально, распылите в необходимом количестве в помещении. На текстиль распылять на расстоянии 30-50 см от поверхности.",Россия
https://goldapple.ru/99000073819-amber-pepper,Luir Парфюмированное мыло для рук и тела Amber & Pepper 400 мл,320,5.0,"Парфюмированное мыло для рук и тела Luir разработано с использованием новейших технологий и высококачественных ингредиентов для профессионального ухода за кожей. Специальная формула с D-пантенолом и персиковым маслом обеспечит интенсивное увлажнение и питание. Входящий в состав натуральный экстракт алоэ вера поможет восстановить и успокоить раздраженную кожу, делая ее мягкой и гладкой, а витамины E&D защитят от воздействия свободных радикалов, предотвращая преждевременное старение. Парфюмированная композиция подарит роскошный аромат на длительное время. Благодаря нейтральному pH (5,5), мыло идеально подходит для ежедневного ухода за кожей рук и тела.","Нанести небольшое количество мыла на влажную кожу, вспенить, смыть водой.",Россия
https://goldapple.ru/19000399150-icarus-347,MAISON NOIR Парфюмерная вода ICARUS 100 мл,18905,5.0,"Вы прирожденный любитель риска! Ваш страстный и бесстрашный дух побуждает вас идти ва-банк и принимать смелые решения, которые раздвигают границы и ведут к успеху. Аромат открывается фруктовыми нотами дыни и зеленого яблока, которые в сочетании с малиной и красным яблоком образуют пленительный аромат. Элегантные ноты пачули, бобов тонка и амброксана оставляют теплый и незабываемый шлейф","Распыляйте с расстояния 20-25 см. Не наносите на одежду, не используйте при нахождении на солнце.",Франция
https://goldapple.ru/19000017910-immoral,BYBOZO Парфюмерная вода Immoral 75 мл,15741,4.7,"Immoral – аромат, который кружит голову и возносит над облаками, наполняя чувством радости и наслаждения. Самый настоящий экстаз во флаконе! Томная сладость сочной фруктовой мякоти в окружении соблазнительного мускуса и стручков ванили наполняет пространство вокруг вас манящим ароматом. Этот пленительный аромат собрал в себе целую корзину фруктов и ягод. Экзотическая маракуйя переплетена с карамельным персиком. Медовая груша сочетается с пикантными листьями черной смородины и сочной малиной. Фруктовая корзина в сердце сменяется нежными цветами. В базовых нотах пряная ваниль, терпкий пачули и пьянящий гелиотроп придают композиции таинственную глубину.",нет,Франция
https://goldapple.ru/19000499640-frederic-malle-hope,Frederic Malle Парфюмерная вода Hope 10 мл,21500,нет,"Доминик, вероятно, лучший специалист в этой отрасли. Его обучение началось у Рура Бертрана Дюпона в Грассе, продолжилось в Париже и завершилось сотрудничеством с Жан-Луи Сьюзаком, чьи поразительные, энциклопедические знания в области парфюмерии принесли ему славу одного из величайших мастеров парфюмерии. Фредерик Маль проработал с ним более 25 лет и наблюдал за ним во время многих длительных экспериментов. Дань уважения силе и красоте бескрайних дюн пустыни и величественному свету, исходящему от них. Тщательно выверенное творение Доминика Ропьона, будто безупречно скроенный на заказ костюм от кутюр.","Нанесите аромат на запястья, шею и точки пульса, чтобы он раскрылся от тепла тела и остался с вами до самого вечера.",Франция
https://goldapple.ru/19000360656-chimilka,Vilhelm Parfumerie Парфюмерная вода Chimilka 100 мл,23100,4.8,"Какая женщина идет по жизни рядом с героем? Жена, мать, возлюбленная? Кем она хочет быть? Парфюмерный дом Vilhelm Parfumerie представляет вам образ женщины, словно сотканной из огня. Аромат Chimilka — это баланс между долгом и желаниями, неприступностью и страстью. Это ода всем женщинам, которые в стремлении выразить свой внутренний пыл готовы выйти за рамки своей женственности. Насыщенный, вольный, притягательный… Аромат Chimilka создан для той, что способна вести за собой и вдохновлять на подвиги. Это не просто женственность, это воплощение истинной свободы. Источник могущества. Стремление к свободе. Увлекательные события прошлого.",Нанести на пульсирующие точки.,Франция
https://goldapple.ru/26661500001-in-the-mood-for-oud,Juliette Has A Gun Парфюмерная вода In the Mood for Oud 75 мл,17806,3.8,"Восточный In the Mood for Oud раскрывает перед нами всю силу своего ольфакторного шарма. Сочная нота бергамота танцует с вашими чувствами, прежде чем раскрыть свою истинную игру. Свежая и невинная, она скрывает свою истинную, чувственную и анималистичную натуру. Теплая и притягательная нота уда захватывает вас целиком. Бобы тонка завершают эту коварную игру обольщения.",нет,Франция
https://goldapple.ru/80620300008-soir-de-lune-perfumed-bath-and-shower-gel,Sisley Гель для душа Soir de Lune Perfumed Bath and Shower Gel 200 мл,8077,4.8,"Гель для душа Sisley Soir de Lune Perfumed Bath and Shower Gel позволит окунуться тебе в мир ласки, заботы и любви. Sisley вобрали всё лучшее от взрывного красного винограда, царицы релакса ромашки добавив кладезь полезных свойств шиповника. Soir de Lune Perfumed Bath and Shower Gel преобразовывается в воздушную пену, смягчая, тонизируя и очищая Ваше тело, окутывая его цепляющим ароматом ""Суар Де Люн"". Водный баланс остаётся неизменным, и кожа не нуждается в дополнительном увлажнении, после применения геля для душа, поскольку чуткое очищение не способствует пересушиванию кожи.",Использовать по необходимости часто для душа или ванны (4-5 нажатий на дозатор).,Франция
https://goldapple.ru/7302100002-so-real-cheap-and-chic,Moschino Туалетная вода So Real Cheap & Chic 50 мл,5133,4.8,"Аромат So Real из коллекции Cheap & Chic от Moschino - ироничный и игривый, каким может быть только Moschino. Флакон и упаковка. Признанный во всем мире и удостоенный многих наград за свой модный и инновационный дизайн, флакон So Real из коллекции Cheap & Chic повторяет силуэт Оливии Ойл. Его характерная форма и рисунок передают образ и черты Оливии. Аромат So Real облачен в яркое прозрачное платье. Культовый символизм от Джереми Скотта находит свое продолжение и в упаковке. Золотистая лента придает наряду нотку элегантности и рафинированности. Аромат Moschino So Real Cheap & Chic - парфюмерный продукт, созданный из инновационных ингредиентов. Верхние ноты окрашены апельсиновой горчинкой и сладостью мандарина. Этой цитрусовой мелодии аккомпанирует сорбет из малины и черной смородины. Ноты сердца кружатся в легком солнечном танце с жасминовыми лепестками и цветками магнолии. В шлейфе тысячи оттенков розового пиона. Эта живая, насыщенная цветочная алхимия находит продолжение в основе аромата из кедра, дубового мха и кристаллов амброксана. Moschino So Real Cheap & Chic приглашает нас в заколдованный мир.",нет,Италия
https://goldapple.ru/19000337189-flowerlush,OMAN LUXURY Парфюмерная вода Flowerlush 100 мл,21024,5.0,"Ароматы, вдохновленные Оманом OMANLUXURY — независимый парфюмерный дом, основанный в 2012 году после встречи Муатасима, Муада и Ахмеда. Вместе они начали свой путь к созданию истинного обонятельного выражения Омана, используя лучшие ингредиенты, чтобы подчеркнуть каждый аспект культуры и наследия страны. Наш символ вдохновлён украшениями «Мария» — ручной работы из серебра с золотом. Логотип сочетает буквы «O» и «L», образуя флакон в круге — символ бесконечной аутентичности бренда. Flowerlush Яркий аромат, напоминающий об очаровании, элегантности и увлекательном переходе между летом и весной. Погрузитесь в яркий букет жасмина, розы и цветочных нот. Аромат открывается нежным пикантным цитрусовым аккордом и живой зеленью, напоминающей мягкую эссенцию свежих листьев травы, покрытых утренней росой. После высыхания белые цветы отступают под вуаль чистого бархатистого белого мускуса с оттенком ветивера и амбры.","Наносить на неповрежденные участки кожи, волос и одежду.",Оман
https://goldapple.ru/19000416503-iris-malika,CHOPARD Подарочный парфюмерный набор IRIS MALIKA 2 шт,7853,4.9,"В подарочный набор входят парфюмерная вода Chopard ""Iris Malika"" (100 мл) и парфюмированный лосьон для тела Chopard IRIS MALIKA (75 мл), который увлажняет кожу и оставляет чарующий аромат. Чувственная парфюмерная композиция воспевает роскошную ноту ириса – одного из самых аристократичных и благородных цветов. Королевский цветочный букет с чарующим ирисом, иланг-илангом и жасмином украшают соблазнительные ноты сочных ягод, древесный аккорд, теплые ноты смол и пряные специи.",1. Лосьон для тела: нанесите лосьон на кожу тела и распределите массирующими движениями. 2. Парфюмерная вода: парфюмерную воду распылите с небольшого расстояния.,Италия
https://goldapple.ru/99000074521-coffee-shop,Plamelia Диффузор-рефил coffee shop 100 мл,999,4.0,"Начните свой день правильно с ароматом ""Кофейня"". Насыщенные верхние ноты свежемолотого кофе пробуждают творческий дух или просто дарят ощущение начала нового дня! Переходящие карамельные акценты завершаются сливочной ванилью. Этот бодрящий коктейль станет настоящим наслаждением для любителей кофе.","Открыть крышку флакона и вставить фибровые палочки. Интенсивность аромата зависит от количества палочек в диффузоре – чем больше – тем интенсивней. Для еще более насыщенной отдачи аромата можете перевернуть палочки, чтобы пропитанная часть оказалась сверху.",Россия
https://goldapple.ru/19000204716-jeans-original-white-donna,CARRERA Парфюмерная вода Jeans ORIGINAL WHITE DONNA 75 мл,3105,3.0,"CARRERA Jeans ORIGINAL WHITE DONNA - цветочный аромат для женщин. Верхние ноты - черная смородина и груша, средние ноты - ирис, флердоранж, жасмин, бобы тонка, базовые ноты - пачули, ваниль, сахар",Распылять на кожу с расстояния 15см. Не использовать в пищевых целях. Избегать попадания в глаза,Италия
https://goldapple.ru/19000420559-berry-boost,DZIYNA Парфюмированный Спрей-мист для тела Berry Boost 100 мл,199,4.1,"Спрей-мист DZIYNA Berry Boost деликатно взаимодействует с кожей, придавая ей ощущение легкости и комфорта. Быстро впитывается и не оставляет липкой пленки на теле. Преимущества парфюмированного спрея-миста для тела DZIYNA Berry Boost: - Глубоко увлажняет и освежает кожу, препятствуя ее «стягиванию»; - Оказывает антисептическое и успокаивающее действие; - Предотвращает шелушение кожи; - Не содержит спирта; - Надолго оставляет нежный аромат малины.",Распылить необходимое количество средства на чистую сухую кожу с расстояния 25-30 см.,Беларусь
https://goldapple.ru/19000234838-dubai,BY KAORI Ароматическая свеча Dubai 160 мл,1690,4.5,"Богатый восточный аромат дамасской розы и удового дерева. Яркий аромат сверхвысокой насыщенности, громко заявляет о себе уже в первые минуты использования. Ноты герани и фиалки мягко обволакивают помещение терпким цветочным ароматом. Переливчатые аккорды дамасской и турецкой розы сливаются в нежный сладковатый шлейф, приправленный острой ноткой корицы. Вам точно полюбится DUBAI, если вы обожаете многослойный аромат дорогих отелей и звездных летних ночей. DUBAI станет идеальным решением для гостиной, холла и, конечно, отеля.","Перед использованием удалите все декоративные элементы упаковки. Выберите удобное место для свечи, недоступное для детей и животных. Держите свечу зажженной не менее 20 и не более 30 минут. Меры предосторожности Не оставляйте зажженную свечу без присмотра и на сквозняках. Располагать свечу вне зоны досягаемости детей и домашних животных. Соблюдайте безопасное расстояние от пожароопасных предметов. Обязательной сертификации не подлежит.",Россия
https://goldapple.ru/19000146804-tualetnaa-voda,Armand Basi Туалетная вода Homme Woody Musk 75 мл,2498,4.6,"Чистая и чувственная парфюмерная композиция ARMAND BASI посвящена красоте мускуса – важнейшего для парфюмерии ингредиента, способного окутать чувством комфорта и усилить стойкость аромата. Раскрыть мускус с новой стороны позволяют пряные ноты кардамона, имбиря и перца, усиленные свежестью лимона и бергамота. В сердце аромата доминирует аккорд чистоты, объединивший альдегиды и цветок апельсина, шалфей и амброксан. Глубину и насыщенность ноты мускуса усиливают благородный кедр и чувственный кашмеран. Классификация аромата: древесный мускусный. Парфюмер – Aurélien Guichard.",Только для наружного применения.,Италия
https://goldapple.ru/19000009369-rose-coup-de-foudre,L'atelier parfum Парфюмерная вода ROSE COUP DE FOUDRE 15 мл,1891,4.5,"Элегантный и утончённый аромат ROSE COUP DE FOUDRE от L’ATELIER PARFUM – это внезапная и яркая встреча холодной ноты турецкой розы и древесной грани пачули. Необыкновенная роза, окруженная зелеными и древесными нотами, удивляет так же, как неожиданная любовь с первого взгляда. Ледяной цветочный аккорд в паре с насыщенными древесными и амбровыми нотами олицетворяет пьянящую страсть. В чувственном шлейфе узнаваемого и волнующего аромата переплетаются пачули, роза и пленительный мускус. Парфюмер – Sidonie Lancesseur.","Распылите на пульсирующие зоны, такие как запястья, шея, за ушами и внутренняя сторона локтя. Избегайте контакта с одеждой, чтобы сохранить качество аромата.",Франция
https://goldapple.ru/19000451204-no20-10,black REFLEXION Парфюмерная вода №20.10 100 мл,1376,5.0,"Black Reflexion №20.10 — это парфюмерная вода для мужчин, вдохновленная роскошным ароматом Tom Ford Amber Leather. Она сочетает в себе благородство кожи, теплоту янтаря и свежесть восточных пряностей, создавая образ уверенного и стильного мужчины.",Только для наружного применения.,Россия
https://goldapple.ru/19000121200-homme-hair-perfume,Balmain МУЖСКОЙ ПАРФЮМ ДЛЯ ВОЛОС Homme Hair Perfume 100 мл,18326,4.7,"АРОМАТ BALMAIN HOMME Интенсивный янтарный, древесный аромат Balmain Homme сочетает в себе бодрящую лимонную свежесть бергамота с древесным оттенком сухого сандалового дерева. Уникальное сочетание насыщенных и теплых нот создает потрясающее впечатление, которое меняется в зависимости от времени суток. Лимонные верхние ноты бергамота, грейпфрута и мандарина будут ощущаться сразу после нанесения и сохранятся в течение 5-15 минут. После того, как верхние ноты исчезнут, выделятся ноты сердцевины, которые можно распознать по ощущениям ладана, черного перца и лаванды. Эти ароматы составляют основу парфюма и будут присутствовать в течение 20-60 минут. Наконец, базовые ноты становятся более заметными. Через шесть часов после распыления духов вы почувствуете ароматы янтаря ветивера, амбры и сандалового дерева.",нет,Франция
https://goldapple.ru/19000228178-smoking-hot,Kilian Paris Парфюмерная вода Eau De Parfum Smoking Hot 7.5 мл,5940,4.9,"Источник вдохновения Килиана Хеннесси. Ночью есть только одно правило: быть Smoking Hot. Сладостный оттенок табака для кальяна и выдержанный коньяк вдохновили Килиана создать настоящий дерзкий аромат: Smoking Hot. Название имеет двоякий смысл: огонь и дым зажженого табака, окутывающая чувственная аура - устоять невозможно. Это ощущается кожей, и от этого кружится голова. Нет никаких правил. Аромат открывается запретным плодом: яблочный табак для кальяна и масло корицы придают аромату пряный, теплый оттенок. Кентуккийский табак высшего качества, высушенный на огне, полученный из настоящих табачных листьев и с допустимым в парфюмерии содержанием никотина, идеально сочетается с оттенком дубового мха. Эссенция бурбонской ванили и орканокс: фирменное сочетание KILIAN PARIS, всегда напоминающее о коньячных погребах, благодаря которому древесная чувственность аромата сохраняется гораздо сильнее и дольше Ноты аромата: яблочный табак, корица, абсолю табака, дубовый мох, эссенция бурбонской ванили, орканокс. Категория ароматов: дымные. Дымные в прямом или переносном смысле ароматы KILIAN PARIS содержат классические ноты бахура, ладана и табака. Парфюмер: Матьё Нардэн Логотип на флаконе может быть представлен как в белом, так и в черном цвете.","Нанесите аромат на запястья, шею и точки пульса, чтобы он раскрылся от тепла тела и остался с вами до самого вечера.",Франция
https://goldapple.ru/19000225803-white-mountains,Rudross Парфюмерная вуаль-мист для волос White Mountains 30 мл,4800,нет,"Белые Горы вдохновлен альпинизмом и чувством восторга, которое вы испытываете, оказываясь на вершине горы. Вы наслаждаетесь спокойным величием гор, вдыхаете свежий высокогорный воздух, слышите шум горного ручья и хруст девственно белого снега под ногами. А чтобы согреться, вы выпиваете чашечку горячего чая с черной смородиной.Парфюмерная вуаль RudRoss окутывает волосы изысканным ароматом, ненавязчиво сопровождающим вас в течение всего дня. Средство увлажняет и кондиционирует волосы, не утяжеляя их, защищает от повреждений, усиливает блеск волос и облегчает расчесывание. Парфюмерная вода для волос представлена в виде спрея, её удобно брать с собой, чтобы усилить шлейф любимого аромата в течение дня.","Нанесите парфюмерную вуаль на сухие или слегка влажные волосы с расстояния 10-15 см. Вуаль для волос можно использовать как самостоятельно, так и в сочетании с парфюмерными водами RudRoss.",ОАЭ
https://goldapple.ru/26070100028-vetiver,Etro Туалетная вода VETIVER 100 мл,10275,4.2,"Туалетная вода Etro Vetiver – это яркий вибрирующий микс, который включает в свой круговорот пряный аккорд из мускатного шалфея и благородного ветивера, уверенно мерцая в самом его сердце динамичным калабрийским кедром и дымными листьями табака. Все акценты туалетной воды достаточно выразительные. Vetiver звучит очень тонко, благородно, достаточно деликатно, создавая за собой выверенный древесный ансамбль. Вдохновенная работа от мастеров парфюмерной промышленной компании Etro, отражает любовь к благородному, возвышенному проявлению значимости и совершенства.",нет,Франция
https://goldapple.ru/19000090606-sex-elexir,MEDORI Ароматизатор для автомобиля Sex Elexir 5 мл,142,3.8,"Ароматизатор капсула подвесной, для автомобиля.",В салоне автомобиля.,Россия
https://goldapple.ru/26180500002-royal-jardins-de-france-luxembourg,12 Parfumeurs Francais Парфюмерная вода Luxembourg 100 мл,28050,5.0,"Парфюмерная вода 12 Parfumeurs Francais Luxembourg с истинно мужским характером окутывает своего обладателя вуалью таинственной загадочности. Изысканные оттенки бергамота и розы раскрываются в начальных нотах Luxembourg, изящно обрамляя доминирующую спелость смородины. В сердце парфюмерной воды звучат легкие акценты пачули и яблока, а завершают композицию 12 Parfumeurs Francais древесные оттенки кедра.",нет,Франция
https://goldapple.ru/19000048488-aroma-candle-currant-leaf-tea,notem Свеча в стакане Aroma Candle | Currant leaf & tea 300 г,1942,3.0,"Коллекция свечей nōtem воспоминания унесёт вас в прошлое с помощью ароматов ♡ Свеча CURRANT LEAF & TEA отправит тебя в тёплые посиделки у мамы на кухне. Она заваривает тебе чай и кладёт туда смородиновый лист. Аромат ягоды раздаётся по всей кухне. Душа сразу наполняется теплом от предстоящей беседы с родным человеком. Услышать первые нотки аромата можно с шафрана и пряного яблока, переходящего в кислинку чёрной смородины, черники и нежной ванили. Завершает аромат игра аниса с древесной пачули и амброй. Так ощущается первый глоток горячего чая у мамы или аромат нашей CURRANT LEAF & TEA. Самая нежная забота исходит от рук мамы. Мы также тепло заботимся о вас, поэтому выбираем для свечей только натуральный и безопасный кокосовый воск. Он не выделяет вредных паров при горении! А ароматы для наших свечей мы привозим из самой Франции. Кокосовый воск - натуральный, возобновляемый воск, получаемый из мякоти кокосового ореха. Он имеет более ровное и долгое плавление, а также способен долго отдавать аромат. Свеча будет потрескивать 40 часов (да, внутри деревянный фитиль) Мы за экологичные потребление, поэтому zero waste для нас не просто слова. Каждая свеча упаковывается в льняной мешочек. Свеча станет идеальным уже готовым подарком для себя и близких! Ведь каждую мы упаковываем в фирменную подарочную упаковку.","Необходимо достать свечу из льняного мешочка, поставить на ровную поверхность и затем поджечь её. При первом применении рекомендуем жечь свечу не менее часа, чтобы верхний слой воска успел полностью расплавиться, но не стоит жечь ее более 3 часов за один раз, чтобы дольше сохранить аромат свечи. Также мы рекомендуем не задувать свечу, а закрывать пламя специальным колпачком, так свеча будет дольше радовать вас ароматом.",Россия
